"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC4350176",10.9459964723267,11.4186281758182,10.5022685449662,9.73314526807723,8.82404641608562,9.56958189796164
"LOC4350182",6.01518995763274,5.47291888229705,5.91297267406521,6.61486297140878,6.92863350669156,7.13793931043925
"LOC4350183",11.670625084231,11.6600691771978,11.6501777744957,12.1749447352894,12.145959752032,12.2590202519572
"LOC4350184",11.4914066402171,11.7808334675128,11.443160737227,11.8109909324317,11.3603252060739,11.4157372826113
"LOC4350186",7.77952206478026,7.54387658746334,7.85373526887549,8.08481462922889,8.03191530645353,8.33046239297773
"LOC4350187",11.9582627625967,11.8427374640037,12.049057301352,12.3888677477155,12.4118418034524,12.2721278874027
"LOC4350189",9.7506447418337,9.81708715105167,9.87838305958625,10.0553806144429,10.2281571068982,10.1035118727082
"LOC4350190",12.8571426264031,12.9596394988473,12.7192066953653,14.2163553788611,14.232266365723,13.9917201883843
"LOC4350193",8.83251174858493,8.7857855374897,8.91980929958412,8.76317191676351,8.91272381130795,8.70301432565578
"LOC4350194",11.7328764127694,11.6200335663915,11.6107344446716,11.9748731446381,11.8049162260266,11.8455305683224
"LOC4350197",16.1906939841489,15.9903615857902,16.1627784547398,16.0887442827096,16.0784726730156,16.2680442519453
"LOC4350198",9.18979380883999,9.21360341755525,9.16731629518572,9.13304372857993,9.11605713447806,8.93945025507348
"LOC4350199",7.07339118293892,7.08198177434512,7.1787004278306,7.24536495173986,7.14934544224779,7.70724195273247
"LOC4350201",12.2861071993284,12.2171925419428,12.279502886446,12.5654498849292,12.6510536214757,12.6169941087656
"LOC4350204",11.8888491453264,11.9729557335981,11.6675469063078,10.5547643272214,10.7370493013545,10.6884724587746
"LOC4350205",7.29982836080263,7.2063067265976,7.47295456082706,7.43672423331933,7.47759629708093,7.61948043937056
"LOC4350206",5.40808815784548,5.49873551946921,5.60152859672884,5.12348364785648,5.30798627172854,5.21274273964767
"LOC4350207",4.46083332313882,4.19956065828548,4.27341097939928,4.34901033605118,4.47631978567653,4.35945514365842
"LOC4350208",12.5107349742158,12.5054912157763,12.5160409169929,12.5703971348398,12.595200442642,12.5383618153839
"LOC4350209",12.5192667828652,12.5117247191982,12.5637324350095,12.7898975891182,12.9045817414239,12.8394023984562
"LOC4350212",5.4466531233622,5.6151237895821,5.52761295592842,5.78312342311569,5.87424727995591,5.85844767329306
"LOC4350213",14.4057142099486,14.1872676866202,14.2514255879746,15.1460357182259,15.1477811489248,14.7007334416262
"LOC4350215",9.75639074399626,9.91593948102562,9.8598643141743,11.1477735479895,10.987964385146,10.6910349584272
"LOC4350216",10.7049648651095,12.134595332387,10.3500313223867,7.68294627963601,4.93534741337465,5.26630109936611
"LOC4350217",14.6925724690473,14.6518052972554,14.4834180008827,10.9313424937211,11.3823109123747,10.6487938092371
"LOC4350218",11.3861071274316,11.4040829775615,11.4392779355575,11.8759901389688,11.8648968795493,11.6266038631793
"LOC4350219",6.63864094158832,6.46972763292363,6.72063167276501,6.51587395645818,6.63664985181757,6.51521650719792
"LOC4350220",9.31458486519317,9.48695101748392,9.44564720148617,9.21737232743105,9.14748135433144,9.17309755369766
"LOC4350222",10.027777134337,10.0362233024109,10.0453288317614,10.5060985677841,10.5637650612108,10.5270266396956
"LOC4350224",7.1796981665851,6.53078042270156,6.75497055719812,7.461427942326,7.47365325110274,7.70151696753426
